gwa,total_units,professional_ethics,scientific_spirit,humanistic_quality,computer_cognition,software_design,system_usage,sustainable_development,team_capacity,job_application,programming_langs_count,web_dev_count,database_count,tools_count,soft_skills_avg,certification_count,employability_label
2.93,149,3,3,2,4,2,2,3,3,3,4,3,3,4,2.87,3,1
3.19,149,5,3,3,3,3,5,4,4,5,5,3,2,2,3.4,3,1
2.24,126,4,4,4,5,5,4,5,4,4,7,4,3,3,4.42,6,0
2.97,126,2,4,4,3,3,4,3,2,3,1,3,3,5,3.51,1,1
4.08,159,3,3,4,4,3,4,2,3,2,1,1,0,2,1.87,0,2
2.61,146,5,3,5,4,4,3,4,4,4,4,1,2,4,3.08,4,1
1.4,130,5,4,3,3,4,5,5,4,3,4,2,2,5,4.92,8,0
2.35,126,2,2,4,3,3,3,2,2,3,5,2,4,2,3.17,2,1
3.47,156,1,1,2,1,1,2,2,1,2,2,0,0,1,2.52,2,2
1.64,139,4,5,5,5,4,4,3,4,5,8,3,4,4,3.61,3,0
3.37,143,1,1,1,1,2,2,2,1,1,3,1,0,0,1.52,0,2
2.67,142,3,5,3,4,3,3,4,5,3,2,2,2,4,3.25,0,1
1.79,155,5,5,3,5,5,4,3,4,3,5,4,4,6,4.11,4,0
4.91,143,1,1,1,2,1,2,1,2,1,3,0,0,0,1.47,2,2
1.45,156,5,5,5,3,5,4,4,5,5,5,4,2,6,4.38,8,0
4.06,133,1,3,3,1,1,2,3,2,1,0,2,0,0,2.66,2,2
2.28,133,3,2,2,4,2,2,4,2,4,4,1,2,5,3.96,0,1
2.6,129,2,4,4,2,4,4,2,3,3,4,3,3,2,3.0,1,1
1.07,157,4,3,5,3,4,4,3,4,5,5,5,5,6,4.41,5,0
2.14,135,5,5,5,3,3,4,5,4,3,3,4,4,4,3.8,0,1
2.47,128,5,4,5,5,4,5,4,5,5,5,2,2,7,4.62,8,0
4.06,155,1,2,1,1,1,3,3,3,2,1,1,1,2,2.49,1,2
1.65,140,4,4,4,4,4,5,3,4,4,8,6,3,6,4.18,3,0
1.96,149,5,5,5,5,4,5,5,4,5,8,4,3,6,3.6,5,0
4.81,123,1,2,2,1,1,1,2,1,1,2,2,2,3,1.92,1,2
2.89,124,3,4,4,4,5,3,4,5,4,5,2,1,5,2.95,0,1
3.03,130,5,3,3,5,5,4,4,5,5,4,1,3,5,4.0,2,1
1.96,133,5,5,5,3,5,4,3,3,3,8,4,3,4,3.71,2,0
1.39,147,5,5,4,4,4,4,5,4,5,7,5,4,4,5.0,3,0
2.14,124,4,3,3,3,5,3,3,5,4,7,4,5,3,3.67,4,0
3.01,140,4,4,4,2,4,3,2,2,2,5,2,2,2,3.19,2,1
2.94,143,2,3,3,4,3,2,2,2,4,3,4,1,5,3.05,1,1
2.89,138,5,5,3,5,5,4,5,4,3,4,4,3,5,3.79,0,1
2.18,152,5,4,5,3,5,3,4,4,4,7,4,2,4,3.9,3,0
3.42,146,1,1,1,1,1,1,1,2,1,0,1,2,3,2.95,2,2
1.99,158,3,4,5,5,5,5,5,5,3,3,4,4,3,4.64,6,0
1.55,150,5,5,5,5,5,5,4,5,4,3,4,2,6,4.05,7,0
3.14,133,2,1,1,2,2,2,2,1,1,3,0,2,1,2.16,0,2
3.0,155,4,3,5,5,4,3,5,3,5,2,4,1,1,3.75,0,1
1.38,153,5,3,3,3,5,4,4,5,5,8,3,4,3,4.61,8,0
2.28,155,4,4,5,4,5,5,4,5,5,5,2,2,8,4.14,4,0
2.41,155,5,5,4,3,4,5,4,4,4,3,3,1,3,3.59,4,1
3.35,145,1,2,1,2,1,2,3,2,3,1,2,2,2,1.14,2,2
3.24,132,4,2,3,3,4,3,4,3,2,3,1,1,1,1.58,1,2
1.45,149,3,5,4,4,3,3,4,3,5,5,4,5,8,4.31,5,0
4.9,137,2,2,1,3,2,3,2,3,1,3,2,1,1,2.49,1,2
2.83,134,4,3,4,4,3,3,2,2,3,1,2,4,4,3.33,1,1
4.94,159,1,2,1,2,2,1,1,1,1,1,1,1,3,1.68,1,2
2.62,123,4,5,4,4,5,3,4,4,4,1,2,1,5,3.97,1,1
2.75,151,5,4,3,3,5,4,3,3,4,4,3,4,1,2.64,3,1
3.34,140,2,2,3,2,3,4,4,4,4,4,2,2,5,3.2,4,1
1.55,124,5,4,5,4,4,5,3,3,4,7,2,2,5,4.1,7,0
2.04,134,5,5,4,5,3,5,4,4,5,8,2,5,5,3.74,7,0
3.88,129,2,2,1,1,1,2,1,1,1,3,2,0,0,1.57,2,2
2.32,137,4,3,4,3,4,4,4,4,5,6,6,5,5,3.54,8,0
2.6,158,4,3,3,4,3,5,4,3,3,1,3,3,5,3.1,4,1
2.32,155,4,5,5,4,5,5,5,3,5,2,3,1,2,3.05,1,1
3.14,132,3,4,3,5,3,5,3,3,3,3,4,3,1,3.21,4,1
3.8,153,2,1,2,2,2,1,1,1,1,1,0,0,2,1.47,2,2
1.89,146,3,3,3,5,5,4,5,3,5,4,6,4,7,3.56,8,0
2.62,122,3,3,4,3,5,5,4,3,3,5,3,2,4,3.99,2,1
4.63,142,1,2,1,1,1,2,1,1,1,2,0,2,0,1.55,0,2
2.04,126,5,4,3,3,3,3,4,4,3,5,2,1,4,3.86,2,1
3.3,156,4,3,4,3,4,4,4,3,4,1,1,2,2,1.33,2,2
3.19,143,1,2,1,1,1,2,1,2,2,2,1,2,2,2.61,2,2
2.61,128,5,3,4,3,5,4,4,5,5,4,2,4,2,3.77,2,1
3.02,125,4,4,5,5,5,4,3,5,5,3,2,3,1,3.37,1,1
2.19,148,4,4,3,4,5,5,5,4,4,4,2,3,4,3.32,0,1
2.73,138,4,4,3,3,3,3,4,4,3,3,3,2,3,3.66,1,1
3.8,154,1,2,1,1,1,1,1,2,2,1,2,2,2,1.43,1,2
4.82,120,1,1,1,1,1,1,2,1,1,1,2,2,0,2.83,0,2
4.42,156,2,2,2,2,2,3,2,3,4,2,1,0,1,2.59,2,2
4.28,124,2,1,1,2,2,1,1,2,2,0,0,2,2,1.94,1,2
3.87,132,2,3,2,4,3,2,4,4,4,2,1,2,0,1.77,2,2
3.28,143,2,4,4,3,2,3,3,2,3,5,1,3,5,3.14,2,1
4.73,137,2,2,2,1,2,3,2,2,3,2,0,1,3,2.78,2,2
2.5,159,5,5,5,5,5,5,5,5,5,7,5,4,4,4.19,6,0
1.74,124,3,5,4,3,5,3,4,5,3,4,6,4,3,4.81,5,0
3.64,148,3,1,3,3,1,1,1,3,2,1,0,1,0,2.62,1,2
2.16,152,5,4,3,3,4,5,5,3,5,5,2,2,4,4.13,8,0
1.34,132,5,3,5,5,5,4,3,4,4,5,2,3,5,4.5,3,0
4.53,129,2,1,2,3,2,3,2,2,3,3,1,0,1,2.14,0,2
1.44,151,4,4,4,4,5,5,5,5,4,6,3,3,7,4.12,7,0
2.39,142,3,4,3,5,4,3,5,4,5,4,2,3,4,2.8,1,1
4.28,121,1,1,2,3,2,3,2,3,2,2,1,1,1,3.0,1,2
2.9,128,4,4,2,3,2,2,4,3,4,2,3,2,3,2.77,0,1
1.66,146,4,4,4,5,5,4,5,4,4,4,4,4,5,4.84,2,0
2.17,139,4,5,3,3,5,5,5,3,3,5,2,2,5,4.36,5,0
2.68,132,3,3,4,4,4,2,3,4,4,3,3,1,1,3.42,4,1
3.41,127,3,2,3,4,4,2,3,2,3,1,1,2,2,2.47,1,2
2.24,150,3,4,3,4,3,2,4,2,3,4,1,4,3,3.51,1,1
2.25,137,5,4,5,5,5,5,5,4,5,5,2,4,4,4.17,3,0
3.39,160,3,3,3,5,5,4,3,3,5,1,2,3,3,3.88,2,1
2.7,135,4,4,5,5,4,5,3,5,3,3,4,1,3,3.78,4,1
3.57,127,1,2,1,1,3,3,3,3,2,1,2,1,3,2.23,0,2
3.05,157,5,4,5,4,3,3,3,5,5,5,4,4,1,3.4,3,1
4.26,123,3,1,2,1,3,2,1,1,2,1,2,0,3,2.96,2,2
2.09,132,4,5,4,3,3,4,4,3,4,3,2,4,6,4.51,6,0
1.04,120,5,3,5,5,4,4,4,3,3,6,6,2,6,4.12,7,0
1.33,146,5,4,5,5,5,5,5,5,5,5,2,3,8,4.52,6,0
1.61,140,5,5,5,5,4,5,4,5,5,8,2,3,5,4.12,5,0
1.87,133,3,4,4,4,5,4,3,4,4,3,3,4,3,4.78,8,0
4.8,158,3,3,2,2,3,3,2,2,3,1,0,0,2,2.25,2,2
2.73,147,4,3,3,4,4,4,3,3,4,1,2,4,5,2.58,1,1
4.9,142,3,3,2,4,3,4,3,2,3,2,2,0,1,1.94,2,2
4.2,156,2,3,4,3,3,3,2,3,2,3,1,2,0,2.69,1,2
2.17,128,4,5,4,5,4,3,3,4,5,5,1,4,4,2.58,4,1
3.75,128,3,1,3,2,1,1,3,2,3,3,1,1,0,2.37,2,2
1.87,148,5,4,5,5,5,3,5,4,4,4,3,4,3,4.99,2,0
2.0,154,5,5,4,4,5,5,5,4,4,4,4,5,4,4.51,4,0
3.47,143,3,2,4,4,4,2,4,3,3,2,4,2,3,3.29,4,1
